# alpha beta0 gamma log10_P0
5.258083516115522604e-01 3.541466917445950990e+00 -6.431515875194683263e-01 2.176842230701003800e-01
9.792465812168987815e-01 5.160585063560717778e+00 -5.165668382119421587e-01 5.028459422311373217e-01
1.042975090938595528e+00 4.861190737490506564e+00 -5.742247881453955705e-01 1.874343520356844817e+00
1.062849079039354550e+00 4.492253721281500134e+00 -3.826604851929640283e-01 -1.591271639097112889e+00
1.335563321703873374e+00 5.278468385853500422e+00 -2.109657870319554540e-01 1.499786739228094135e+00
1.405935298079317164e+00 3.399491376764883110e+00 -6.798241881463694680e-01 -7.485798758823103416e-01
8.377729320234099664e-01 4.963328671011552728e+00 -2.328003260223622251e-01 -9.134017205051914168e-01
6.187656840634596644e-01 4.423606825122180730e+00 -4.444685729354469483e-01 1.297039688562105386e+00
1.441393397134894894e+00 4.887108967055163511e+00 -3.168173348676548429e-01 9.379369165093032201e-01
7.229606279573161931e-01 4.092583081770577280e+00 -1.653614560943053036e-01 -1.477434047829840225e+00
1.136502784649021436e+00 4.828015723294612371e+00 -5.522015906120135709e-01 1.660042674757744585e-01
1.341341921588838471e+00 5.284685655420076955e+00 -2.983248702741810865e-01 1.347735006742323272e-01
1.118540035968200286e+00 3.860645940393376385e+00 -6.319944921485076694e-02 -4.002355926320322332e-01
1.189704604979982872e+00 5.912043579441791152e+00 -7.823099227175811521e-02 -2.969833289927030773e-01
1.312328673795693401e+00 4.522350211297130329e+00 -4.528387819887659815e-01 1.740335037646848715e+00
1.014652776305676074e+00 4.452693691052564517e+00 -6.233914166388871969e-01 -1.352479963437312804e+00
1.302922253439995348e+00 4.234714094384208316e+00 -1.733552429644724668e-01 6.142735968619961184e-01
1.283753457323456360e+00 5.581518782658423383e+00 -1.232875080369171261e-01 1.090927083400811792e+00
7.971727754138546729e-01 3.186385452339231872e+00 -2.363498164501344201e-01 8.069957154552964695e-01
1.473651249937866670e+00 5.888114003646554906e+00 -5.333421929140477191e-01 7.269152573085948532e-01
6.866854916773809103e-01 3.062246715325438462e+00 -7.868841223079962033e-01 -1.653343133437046530e+00
1.027818303414929080e+00 4.269838851341384967e+00 -6.663341561035787119e-01 1.409219928631955554e+00
1.386709825767731274e+00 4.979974925397518959e+00 -7.409138726162790567e-01 -5.182822520024874535e-01
1.032430749795407721e+00 5.222855490573683923e+00 -5.918090725348872372e-01 -1.092169042979804328e+00
1.001105499115572783e+00 5.973896401936412914e+00 -8.070803541272308923e-02 1.777219274734415766e+00
6.367313544743391507e-01 4.351207028788541820e+00 -9.359521976875717630e-02 -1.391013644075127065e+00
1.173769992768273651e+00 5.094794635460184296e+00 -5.386961690128627689e-01 3.592882700209547586e-01
6.272288723027720225e-01 3.026337542482947729e+00 -7.007346577390016762e-01 -1.238475627673447210e+00
1.457552347006794813e+00 4.594098730345394621e+00 -7.650606366976354655e-01 -1.963411657090956108e+00
1.229931843761318255e+00 5.502732889057178056e+00 -3.345925582386506392e-01 -1.284073882902478259e+00
1.111327216248698235e+00 5.624403681562684554e+00 -6.145066659268394460e-01 1.282694163130540410e+00
8.116670866091049152e-01 5.652144220338131575e+00 -5.259791672739967394e-01 1.387375225956286595e+00
5.631727762582195984e-01 3.729896530267734711e+00 -3.090235578112213721e-01 -5.896038437880575245e-01
6.713515108823968625e-01 4.335675124691164228e+00 -1.435454929488885201e-01 1.967270276127049744e+00
1.292331526294068444e+00 5.796424717513370517e+00 -2.166964113635018174e-01 1.229352640002482122e+00
9.121067333532947297e-01 5.052223032135491287e+00 -4.336269587298499650e-01 -8.982952976760343322e-01
7.922120847915443687e-01 5.345592584085794741e+00 -1.959894139840553384e-01 -1.216661516879089078e+00
9.924887083175595315e-01 5.159481310082871808e+00 -2.649577515451662091e-01 4.673228553011274933e-01
1.378878007288011132e+00 3.826703132555062670e+00 -1.106514544468126804e-01 -1.445511682977274059e+00
5.217501297292879148e-01 3.800173856767394387e+00 -2.223619676857213623e-01 -1.685967197413649199e-01
7.791380724323528906e-01 3.602015715716697208e+00 -2.853812839453693240e-01 1.550802798202362442e+00
1.055561180244868336e+00 4.695097865187301878e+00 -2.769787384587945045e-01 -1.001864047106057587e+00
1.497462888857418406e+00 3.937130414518326127e+00 -4.477455070288407502e-01 1.567518171864584975e+00
9.059522792754591825e-01 4.609534954318824873e+00 -4.049876469054921602e-01 -7.534371398205543802e-01
6.805192235199757356e-01 4.464182986462660097e+00 -4.813500635975295205e-01 -1.319955456622622370e+00
1.356873660072971832e+00 3.146557280647251265e+00 -5.811131501623187923e-01 1.349890270341414844e+00
8.778239005431121011e-01 5.024120129683973701e+00 -3.462419463732423486e-01 6.849770666220313942e-01
1.102025683109207677e+00 3.521700947617851352e+00 -7.996208789032027697e-01 -1.399711058400181951e+00
6.670179365407080674e-01 5.452053295869002447e+00 -6.449197058997470089e-01 7.142634141389523350e-01
1.319204937667833200e+00 4.563010511019900406e+00 -3.991786079942875043e-01 1.830069642467196722e+00
8.217807612940706274e-01 5.232676165774536869e+00 -7.610044471172141556e-01 -9.486047200816398739e-01
6.998885096983343823e-01 5.946488255280027779e+00 -7.107909333067191637e-01 -6.968507755561148542e-02
1.187025339962971771e+00 4.211848081641104358e+00 -3.721655746138573528e-01 2.854042685049313910e-01
