# logM_cut logM1 sigma
1.310090417580577693e+01 1.399458616858136395e+01 1.502828041601772524e-01
1.300921052788376286e+01 1.431548202458661834e+01 3.540487552967265250e-01
1.318095544119203844e+01 1.387717664632097581e+01 2.657437727346488865e-01
1.333019845624841793e+01 1.477046061086672069e+01 1.621464700223028133e-01
1.371742453951967811e+01 1.414097481112701082e+01 3.851131716023453722e-01
1.337909104511286174e+01 1.408194978367141204e+01 3.458723654877916553e-01
1.349668947531202967e+01 1.447202584580482920e+01 2.924838245198292386e-01
1.355058189612748087e+01 1.460216116086582794e+01 3.782137577573556619e-01
1.343688646601170511e+01 1.424342948710681434e+01 1.930665579925459618e-01
1.302382478493685092e+01 1.446915140779362829e+01 3.066339020935151538e-01
1.368102095137636987e+01 1.462417869647161162e+01 3.493483492837237137e-01
1.356251816117586095e+01 1.386791744303798168e+01 1.976210572818314359e-01
1.334348031397865775e+01 1.426388362290575706e+01 3.635461813018981969e-01
1.370132074402127031e+01 1.456659566444620246e+01 1.903346436078843518e-01
1.322919893959199200e+01 1.370928198347239757e+01 1.263354803972095985e-01
1.317678094257001220e+01 1.479786886891533548e+01 3.394233437921395091e-01
1.340127001798409978e+01 1.416673136134014932e+01 4.276001835950498098e-01
1.305997055092099579e+01 1.450967191592373773e+01 2.986702982868159606e-01
1.352517933848549525e+01 1.439970599032938026e+01 1.410821684489233230e-01
1.324172503521618793e+01 1.383673111651029686e+01 3.597709398529280733e-01
1.346532638815283889e+01 1.382940897086621135e+01 2.348695277870376241e-01
1.306494000457033522e+01 1.479100904923999771e+01 3.728928411986840441e-01
1.323776317135701852e+01 1.413282827446065504e+01 2.479383643308641361e-01
1.335425313044307138e+01 1.449081978429949302e+01 4.331829427125507559e-01
1.369658638770692782e+01 1.405071333282774049e+01 4.398833945166219506e-01
1.364687446443191199e+01 1.452888523433228407e+01 1.086761669705462174e-01
1.330977187139063567e+01 1.455368855984991505e+01 1.366713729193452243e-01
1.351837445255424086e+01 1.417402288788433751e+01 2.636660541601846264e-01
1.361990915170746419e+01 1.450250473676573471e+01 2.885552812988071425e-01
1.345015249107899535e+01 1.438661300521531494e+01 3.369979104497933253e-01
1.311939075158914747e+01 1.411417023793707237e+01 4.971076874488519204e-01
1.333847591509561425e+01 1.454534168350968670e+01 4.227394348137621938e-01
1.304255274955778710e+01 1.455201792544376183e+01 3.337639881957590315e-01
1.374415240934180282e+01 1.373900280620110692e+01 2.026005857323785186e-01
1.307493652015416252e+01 1.417866952992458707e+01 4.864424981920684177e-01
1.372913243924336513e+01 1.475352851173821023e+01 4.294555168763096731e-01
1.327561443615138614e+01 1.463553568681900963e+01 2.610884474203327699e-01
1.365519054654081899e+01 1.412731723856717103e+01 2.008415608621162418e-01
1.308329290886824303e+01 1.469078862143749298e+01 3.164829609403295718e-01
1.329312214817619697e+01 1.396712348828123673e+01 3.087453823185951629e-01
1.363766360812434897e+01 1.380642584369144821e+01 3.758311113577201823e-01
1.335833677039131828e+01 1.430477112204376056e+01 1.710120183615109757e-01
1.372668055515067032e+01 1.434820511696123724e+01 2.757931940645549362e-01
1.366164942171129049e+01 1.461756173867304831e+01 1.841497597632464345e-01
1.318967575544119875e+01 1.413809221607505862e+01 2.588181690170371918e-01
1.356790878451588256e+01 1.403022792432717125e+01 4.210353931261141547e-01
1.341286905909099936e+01 1.381504498500042644e+01 2.730266833383236946e-01
1.331803717202258142e+01 1.378834195449763733e+01 1.128565438952478517e-01
1.373810604239577238e+01 1.414953163385299462e+01 1.113368620053148961e-01
1.312191731039011344e+01 1.392858598696832217e+01 4.319567758402393931e-01
